rating,rating_title,rating_descriptions
5.0,"COMP is insane, great culture","""Working at google is the holy grail of all workplaces."" And oh boy did this turn out to be true. Amazing culture, amazing comp, what more can you ask for? "
4.0,Productive and Innovative work place ,I would absolutely say that my typical day experience at work was very busy but enjoyable. I learned a lot from my co-workers and management and the overall workplace culture is excellent. I would definitely say the job isn't easy but it is worth it. 
5.0,loved it here,"I loved working at google, it was a super fun company to work for, a great environment and I learned a lot while being at the company, amazing management."
5.0,Fun and supportive!,"My leadership has been amazing and helped me grow to the point where I am now sharing my knowledge and helping new folks grow into their positions. It's a fast paced work environment, but when your whole team is full throttle, it keeps things exciting and rewarding!"
5.0,The employees are great and pay is too,"The employees there are amazing, the environment also amazing. My immediate supervisor not great but everyone else is amazing. The manager wasn’t all that clear on training but otherwise people there are great"
4.0,productive work place ,not what you would expect but great. High traffic with lots of opportunities. Great management system to ensure all task had been dealt with. Luxury on your creativity work style.  
5.0,Good ,Good great wonderful!!! No cons great pay benefits good. I don’t think there’s other companies with free food and free gym everyday  as well as a lot of space to work. 
5.0,Great place to work,"I loved my time working at Google. Delicious food, smart and friendly coworkers, and great culture. The TGIF weekly Happy Hour events were great for bonding with fellow Googlers. "
4.0,All depends on your team!,"I originally started at Google in the sales department. This particular team held an environment that was toxic, hostile, inferior anxiety inducing. The management was dysfunctional, superior and misleading. However, switching to the HR department, my experience was night and day. I had a phenomenal department head who was a leader, a friend and an encourager. This trickled down to the management and team support. Very welcoming, inviting, encouraging and understanding of work like balance. Had I left Google with just the sales experience, I would have blamed the entire Google culture for a poor experience which is not the case. Like most places, it all depends on your team and management!"
5.0,Great culture great benefit,"Great company to work with, hoping to stay for a long time.Awesome perks and benefit (6 months paid maternity leave) Free breakfast (many cafes), lunch (many cafes) and dinner (limited cafes) Very good and mostly laid back culture, except for GCP Great salary"
4.0,"fast-paced, minimal management ","learned a lot on the job, the learning curve is based on your manager and the team you're on. there's a lot of room for growth due to the fast-paced environment "
5.0,As you see,Good employee friendships formed. Management can be petty but to be expected. Unsociable hours but you know rota before starting so cant complain.Average money but easy work.
5.0,Productive and fun workplace,It was a fun and interesting experience. Lots of handson and i truly learn a lot. It was an invaluable experience working with my team and i have grown 
4.0,Ottimo,è una realtà che merita.Consiglio di provarci a tutti.
3.0,Fun place to work but leaves you feeling paranoid. ,"Google is one of those dreams everyone hopes to fulfill. It’s great the first year or two. But getting promoted is really a punishment. Yeah you get great benefits and decent pay. But management is hit or miss. You have a 50% chance of getting a toxic boss. And I mean bosses that make you feel like your life should revolve around them. It’s not micromanaged but more like a cult where you get sucked into the culture and feel guilty for ever looking for something better. They have kids and pets and family that you get emotionally invested and it’s hard to pull yourself out of a culture like that. You never know if an award is really an award or a way to manipulate and control you. Like I did this for you and you owe me now. It’s an emotional debt you can never pay. When you have a great boss, you feel the same level of paranoia where you aren’t sure if it’s corporate gaslighting culture or you aren’t appreciative enough. Tread carefully with this company. "
5.0,Great company to work for!,One of the best companies to work for overall. Very stable company and provides opportunities for career advancement. The culture is great too where they help you to succeed in your role.
5.0,Productive and enjoyable workplace. ,Productive and enjoyable workplace. Thoroughly felt that my work was enjoyable and managed to learn a lot during my time there. Would highly recommend. 
5.0,"great place, excellent people","As a junior role, you can learn a lot form these excellent people. And it is a large company with thousands of resource that people can reach and learn."
1.0,Unique workplace ,"Contingent workers are disrespected, overworked and looked down on. Considered lower caste. Mundane repetitive tasks. Most managers are clueless on how to do their jobs. "
5.0,Best Workplace,"Google is a great work place. They pay well and respect their employees. Team change is flexible, your manager can stop your moving if your tenure in the current team is more than a year. You can make impact doing what interests you. This makes Google the best place to work "
4.0,Great benifits,Great pay and benifits! Plenty of vacation time and great office space. Getting a promotion can be difficult due to needing community contributions and having done high profile work. 
4.0,"Good pay, limited growth, a lot of bureaucracy ",Company pays very well and has a lot of benefits and perks. Took good care of employees during COVID. The problem I see is with the reward system - focus shifts to the creation of multiple forums and presentations to get visibility from management instead of focusing on the problems. 
5.0,Great workplace,Great workplace. Can't complain about working here. Apply ASAP if you see an opportunity to come on board. Great culture work life balance compensation and all that!
4.0,Really great place to work,Really good colleagues and smart people to work with. The work satisfaction is very high as your work will be used by millions of people around the world.
1.0,Not fun if your a janitor,"Janitorial service is working with broken equipment, short staff, overworked, underpaid.We keep the place spotless, it couldn't function without us.Management is incompetent and disorganized.Why don't they use a local company instead of contracting with a company in Ohio, who then contracts with a company in Indiana.Would love to know what those contracts look like."
3.0,Productive I personally enjoy it and I think it fits me thanks you. Even though I worked there for 2 years I believe it helped me grow,It’s fantastic I enjoy it thanks for asking.  Productive I personally enjoy it and I think it fits me thanks you. Even though I worked there for 2 years I believe it helped me grow
5.0,Culture is King,"I won't be the first to tell you that interning here is a dream. I absolutely loved my time at Google and everything was honestly great. I only really have 2 complaints:1. My manager seemed to be new to management so he wasn't as helpful as he could have been.2. If you're open about being religious (Christian in my experience), some may ostracize you for it. I was open about my religion but made a point to not push people about it. I ended up being avoided by some other interns and several people who were not on my immediate team which is disappointing but honestly expected."
3.0,Fine workplace,Fine. Enjoyed work but could grow in other places. Did not agree with their values but the work environment was fine. Not a bad place to work but I am moving on 
3.0,Tgif,Not a place where you would think is a good place to work. Way up in the mountains area. Not much of anything to do there. But if it snow its a lot to do during that time
5.0,Energizing Place to Work with Creative People ,I worked a contract position on a great team where we did great work. Hard to convert to full-time job and Google managers can’t give you a reference for non- Google jobs.
5.0,Great culture great benefit,"Great company to work with, hoping to stay for a long time.Awesome perks and benefit (6 months paid maternity leave) Free breakfast (many cafes), lunch (many cafes) and dinner (limited cafes) Very good and mostly laid back culture, except for GCP Great salary"
5.0,Great Benefits and Flexibility,"I am generally happy with my work-life balance, benefits and overall flexibility in what I work on and how high up I want to reach. I am surrounding by a good support system and can take on as many challenges as I'd like!"
5.0,Not Applicable ,"Fairly good company to work for long term.I’ve enjoyed my career here for a compilation of years now. If I could do it all over, I wouldn’t wish to take another path than the one chosen for me. "
4.0,Variety of projects but none ever made it to production. ,I worked as a contractor and there’s a line separating treatment between regular and contractors. It could be a much better company if they spend their resources wisely. 
5.0,Productive & fun workplace,"Culture is enabling and inclusive, and gives good opportunity to have a work life balance.Lots of people engagement activities are a part of the workplace culture, and also helping out employees in the covid situation, through new policies in all aspects such as comfort, mental and physical well being, and technical enablement. Allows growth in various dimensions apart from core job."
5.0,Grass Is Always Greener,"I loved Google and was there for 5+ years, but was frustrated in my role and took an outside opportunity. MISTAKE - the rest of the work world sucks and I should have never left. "
4.0,Tbd,"Its enjoyable.Alot of big data and metric focused, although it is a data and engineering company. As such not that large of a surprise.That's all.Thank you."
4.0,good,"worked in GCC and good environment and with mixed culture with balance and fair time of working hours, start from 8 to 3, enjoying weekend Friday and Saturday."
5.0,Great working place,Really nice working place and people here are soooo nice. The new ideas can be discussed freely hence we all eager for the communication. and maybe the good communication environment is the most important thing in company.
5.0,Good exp,"good experience, collaborative in nature, get to enjoy free food and the barista, fun colleagues abd bosses, can be stressful and things can get out of scope"
5.0,None,It is a good company to work for with good pay but the career progression is not that good in the company as it is a very large company and it also gives good benefits
4.0,Ambiente relaxado,Colegas bastante simpáticos e uma boa cultura de trabalho.
5.0,Personal Growth and Perfect Experience,"Helpful team members; challenging but fun projects; excellent benefits and perks; flexible working mode; great package. If you are pursuing personal growth, this is the right place!"
4.0,Productive and fun,Setting you goals and time frame to complete.Less stress meaning that you can be more productive within you set goals to complete tasks set out to you.
5.0,It's a great company,"Good pay, not too much work, not too much stress, good benefits, etc.What else is there to say? Google is google. Let me hit the 150 character minimum please"
5.0,Triage nurse ,"Great company, they offer a lot of benefits. The environment was great and the people there really want you to succeed in the industry. I will stay here forever "
3.0,Meh,Bureaucratic. Managers can be condescending.  Very fun work and bright people though. There is also a level of prestige. Telling someone you work at google is cool.
4.0,Butler Service,"I really enjoy coding at this amazing company. You get free food, unlimited drinks, and lots of stock options. It's the perfect job really. We don't have butler service."
5.0,fun place to work at ,i learned to code better and allot of people are very freindly we get free lunch and coffee sometimes there are black outs but that is alright and we make sure to we also get a free computer to use
5.0,Great place,"Love it here. Awesome company to work for. Opportunities to advance. Top of the line benefits, pay and culture. This is the best place i have ever worked."
2.0,You get recognition for your work but sometimes there is too much work.,You get recognition for your work but sometimes there is too much work. Managers are great. You also get free lunch and other perks apart from the usual.
